O,0,1,1,1,1,0
O,0,1,1,2,1,0
O,0,2,1,2,0,0
O,0,0,3,0,1,1
O,0,0,1,0,2,0
O,0,2,0,0,2,0
O,0,0,0,0,3,0
O,1,0,0,4,0,0
S,0,1,1,0,1,1
S,0,1,2,0,1,1
S,0,1,2,0,2,0
S,0,0,1,1,3,0
S,0,1,0,0,0,2
S,0,0,0,0,2,2
S,0,0,0,0,0,3
S,1,0,4,0,0,0
D,0,0,1,1,1,1
D,0,0,1,1,2,1
D,0,0,0,2,2,1
D,0,3,0,1,0,1
D,0,0,2,0,0,1
D,0,0,0,2,0,2
D,0,0,0,3,0,0
D,1,0,0,0,4,0
E,0,1,1,1,0,1
E,0,1,1,1,0,2
E,0,0,2,1,0,2
E,0,1,0,3,1,0
E,0,2,0,1,0,0
E,0,0,2,2,0,0
E,0,0,3,0,0,0
E,1,0,0,0,0,4
R,0,1,0,1,1,1
R,0,2,0,1,1,1
R,0,2,0,0,1,2
R,0,1,1,0,0,3
R,0,0,0,2,1,0
R,0,2,2,0,0,0
R,0,3,0,0,0,0
R,1,4,0,0,0,0
